,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
196811,47927.66,61359.1,166394,97845,71678.88,40843.25,36794.18,26621.32,48869.1,60809
196812,49406.84,60578.65,174767.44,102734.28,77792.26,42695,38543.37,28684.92,52938.9,65115.7
196901,48795.6,57708,167977.71,100040.49,73560.76,39779.25,36785.42,28347.88,51251.76,62403.8
196902,48132.48,56123.16,166937.68,98780.22,70099.49,40255.5,36344.58,28264.28,52341.66,62685.12
196903,44806.86,53795.43,156527.43,92011.22,67375.8,38544.25,34733.15,26724.28,49385.7,56967.9
196904,44979.45,56460.69,160079.64,98478.24,70984.24,38061.84,36299.76,27587.56,48576.78,57285.48
196905,45392.55,57117.06,161089.12,97966.68,72902.76,41005.68,37599.66,28934.4,49058.1,57422.96
196906,45768.26,56291.35,159032.19,99619.97,71500.92,41092.8,37705.22,29326.88,48843.9,56312.75
196907,44997.12,54663.68,151052.7,92666,75408.62,40377.74,38588.56,29327.97,47353.68,67177.88
196908,41810.94,50601.88,142240.4,83594,71166,38563.46,35236.16,28504.28,45774.96,60910.9
196909,43734.96,51804.57,147151.98,88495,75974,38810.2,37950.99,31029.74,44961.84,65390.49
196910,43704.38,51520.09,143816.53,79912,76067.75,37216.4,37683.03,31679.48,42918.48,64770.57
196911,47287.8,53355.96,153005.85,78626.38,80358.3,38518.22,40145.49,34497.96,46291.08,69794.88
196912,45849.12,50442.5,146856.52,74644.64,78599.92,38601.68,38078.28,34518.54,43635.24,65732.16
197001,44841.72,48630,144585,72325.96,77968.8,36382.58,36833.48,35961.1,43171.92,63115.68
197002,42839.5,44547.5,133657.1,63800.94,70895.16,35452.3,34598.34,33385.17,41189.28,57488.96
197003,44704,46832.5,139427.7,66712.52,72768.92,37899.16,36322.72,35137.9,44394.24,62102.04
197004,44192.5,49086.25,138453.76,66353.84,70831.34,38671.36,35656.02,33319.51,45489.84,60597.46
197005,39635.75,44703.24,125526.51,60209.24,60663.8,35271.34,31594.5,29937.04,41663.16,52222.26
197006,36486.45,41603.24,115166.97,61114.85,54460.74,33573.54,28423.58,27517.42,39189.48,47646.48
197007,38023.47,40329.98,112091.72,61006.05,49721.76,30895.56,29200,27972.34,38126.7,49836.65
197008,40489.89,44386.09,117425.08,68570.25,50776.75,34068.33,32031.36,28555.34,41289.75,53679.23
197009,40956.51,47745.67,122076.26,72505.65,54750.15,34412.82,33600.06,28971.92,42952.95,56190.4
