Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
193009,-2.023846154,-5.054615385,-4.677692308,-3.036923077,-4.706923077,-1.972307692,-5.46,-2.158461538,-3.323846154,-3.374615385
193010,-1.191538462,-2.415384615,-3.201538462,-2.548461538,-2.824615385,-1.04,-3.403076923,-1.020769231,-1.685384615,-2.859230769
193011,-0.895384615,-1.180769231,-2.746153846,-3.002307692,-2.172307692,-0.603846154,-3.468461538,-0.935384615,-0.843076923,-2.800769231
193012,-0.529230769,-0.940769231,-2.594615385,-2.503076923,-2.598461538,-0.313076923,-2.455384615,-0.387692308,-1.028461538,-1.851538462
193101,-0.443846154,-0.062307692,-2.136923077,-2.000769231,-1.693076923,0.052307692,-1.681538462,0.016923077,-0.411538462,-1.805384615
193102,-0.739230769,-0.543076923,-2.822307692,-2.752307692,-2.886153846,-0.766153846,-1.538461538,-0.086923077,-1.296923077,-2.784615385
193103,-1.308461538,-2.023076923,-4.44,-5.166923077,-4.513846154,-1.769230769,-1.723076923,-0.826153846,-2.74,-3.916153846
193104,-2.196923077,-2.659230769,-5.132307692,-6.635384615,-5.659230769,-2.109230769,-2.174615385,-1.517692308,-3.854615385,-4.764615385
193105,-1.476153846,-1.850769231,-3.661538462,-4.996923077,-3.883076923,-1.354615385,-1.557692308,-0.657692308,-2.906153846,-3.434615385
193106,-0.92,-0.299230769,-3.186153846,-4.086153846,-3.163076923,-1.087692308,-0.433076923,0.569230769,-1.854615385,-3.293846154
193107,-1.211538462,-1.443846154,-3.563076923,-3.755384615,-3.190769231,-1.122307692,-0.408461538,0.097692308,-2.300769231,-3.86
193108,-3.263076923,-3.975384615,-5.852307692,-5.804615385,-5.966153846,-2.914615385,-3.116153846,-2.760769231,-4.933846154,-5.870769231
193109,-2.043846154,-1.691538462,-4.323076923,-3.536923077,-3.693846154,-2.175384615,-1.202307692,-1.225384615,-3.210769231,-4.913846154
193110,-2.005384615,-1.064615385,-4.2,-3.561538462,-3.448461538,-2.386153846,-1.263076923,-1.103846154,-2.940769231,-5.742307692
193111,-2.750769231,-2.153076923,-5.346923077,-4.73,-4.239230769,-2.745384615,-2.640769231,-1.170769231,-3.286923077,-6.612307692
193112,-2.239230769,-2.586923077,-4.753846154,-4.156153846,-4.29,-2.763846154,-1.546153846,-0.853076923,-3.196923077,-5.418461538
193201,-2.241538462,-3.043076923,-4.562307692,-3.891538462,-4.21,-2.237692308,-1.783076923,-1.328461538,-3.080769231,-6.343076923
193202,-3.225384615,-6.085384615,-6.655384615,-4.42,-7.04,-3.456923077,-3.633846154,-2.422307692,-4.991538462,-7.997692308
193203,-3.968461538,-8.063846154,-7.9,-4.395384615,-8.302307692,-4.134615385,-4.590769231,-4.081538462,-5.957692308,-8.993846154
193204,-5.193846154,-8.888461538,-8.210769231,-3.788461538,-9.499230769,-4.639230769,-6.470769231,-6.424615385,-7.325384615,-10.54384615
193205,-4.257692308,-8.253076923,-7.141538462,-2.366923077,-7.967692308,-4.686153846,-6.264615385,-4.785384615,-6.356153846,-9.356923077
193206,-3.183076923,-5.920769231,-5.267692308,-1.016153846,-6.005384615,-4.186923077,-4.783846154,-3.286153846,-4.944615385,-6.323076923
193207,-1.143076923,-2.278461538,-0.910769231,0.762307692,-1.696153846,-1.645384615,-2.134615385,-0.727692308,-1.186923077,-1.041538462
193208,-1.159230769,-1.410769231,-1.087692308,-0.748461538,-2.412307692,-1.69,-2.131538462,-1.674615385,-1.410769231,-1.059230769
193209,-0.137692308,-0.637692308,-0.011538462,1.255384615,-1.271538462,-0.656923077,-0.780769231,-0.836923077,0.299230769,-0.406153846
193210,-1.213846154,-1.843076923,-1.279230769,-0.171538462,-2.775384615,-1.076923077,-2.286923077,-1.277692308,-0.783846154,-1.08
193211,-0.586153846,-1.230769231,-0.39,0.500769231,-1.106923077,-0.266923077,-1.179230769,-0.538461538,0.284615385,0.773846154
193212,0.503846154,-0.491538462,1.052307692,1.723846154,0.044615385,0.367692308,-0.196923077,-0.31,0.966153846,2.698461538
193301,-0.351538462,-1.843846154,-0.257692308,1.028461538,-0.622307692,0.080769231,-1.639230769,-0.937692308,-0.366923077,0.919230769
193302,0.033076923,-1.294615385,0.15,0.693076923,-0.626153846,-1.263846154,-1.299230769,-1.338461538,-1.892307692,1.226153846
193303,3.121538462,6.549230769,5.654615385,3.776923077,4.596923077,0.514615385,2.679230769,2.010769231,0.794615385,4.82
